Num_ferme;reliability;debut;fin;duree;Nb_veau;Nb_taure;Nb_vch1;Nb_vch2;Nb_tarie;Nb_taureau;Quota;Nb_VL;autre_anim;autre_veau;autre_vch;autre_eq;F20;autre_pig;autre_ptrum;nb_vch;ncowy;ln_ncowy;produc
93;5;24-mars-17;03-avr-18;375;8;35;30;40;12;0;85;70;0;0;0;0;;0;0;82;84.24657534;4.43374792;1.214285714
94;5;02-mai-17;10-mai-18;373;8;100;45;84;15;0;148;129;1;1;0;0;;0;0;144;147.1561644;4.991494366;1.147286822
95;4.5;21-avr-17;10-mai-18;384;13;60;24;37;13;1;83;61;0;0;0;0;;0;0;74;77.85205479;4.354810292;1.360655738
96;4.9;23-mars-17;03-avr-18;376;5;20;9;37;5;0;41;46;0;0;0;0;;0;0;51;52.5369863;3.961517423;0.891304348
97;5;28-mars-17;09-avr-18;377;4;21;11;32;8;0;57.5;43;1;0;1;0;;0;0;51;52.67671233;3.964173467;1.337209302
98;9999;04-avr-17;09-avr-18;370;15;49;29;54;12;0;106;83;1;0;1;0;;0;0;95;96.30136986;4.567482544;1.277108434
99;4;31-mars-17;05-avr-18;370;5;60;25;40;10;0;84;65;0;0;0;0;;0;0;75;76.02739726;4.331093766;1.292307692
100;4;03-mai-17;15-mai-18;377;3;21;12;21;8;1;41;33;0;0;0;0;;0;0;41;42.34794521;3.745919901;1.242424242
101;4.9;18-mai-17;18-mai-18;365;9;39;19;27;7;0;57;46;1;4;0;0;;0;0;53;53;3.970291914;1.239130435
102;9999;24-avr-17;27-avr-18;368;4;23;12;30;2;0;44.2;42;0;0;0;0;;0;0;44;44.36164384;3.792375219;1.052380952
